da_AVE_EXP,da_STD_EXP,ABS_CRS_AVE_EXP,ABS_CRS_STD_EXP,SCA_CRS_AVE_EXP,SCA_CRS_STD_EXP,SSA_AVE_EXP,SSA_STD_EXP,ABS_Eff_AVE_EXP,ABS_Eff_STD_EXP,SCA_Eff_AVE_EXP,SCA_Eff_STD_EXP
50,2,0.0008041069026382437,4.951907529475578e-05,1.4260086234854346e-05,1.1963774267058666e-06,0.017483601960603203,0.0017570991700969854,0.41077960225099025,0.041489021735292606,0.0072850760174939634,0.000849170434893929
60,2,0.0015660165479127364,0.0001302911687523521,4.482182264249627e-05,2.573032672133231e-06,0.027997048976735415,0.002670120553632652,0.554568574931601,0.06000375011854261,0.01586845030643805,0.0013774006995459218
70,2,0.0023441746231390695,0.00032417164709597565,9.266409052295515e-05,1.3277363514773448e-05,0.03813247615288573,0.003219349338239591,0.6108244764868133,0.09288558668198704,0.02414506785889055,0.003788387040455075
100,2,0.007508584101280192,0.00047233003030225785,0.0005405600898701974,2.8033757701377868e-05,0.06733915054285804,0.004548419306267937,0.9569818496827909,0.07183572100854452,0.06889286308082491,0.004514862146131885
125,2,0.015085188906050012,0.0009427590872803386,0.0016323032697793973,9.153069295742855e-05,0.09787736223037909,0.006706093389413818,1.2296002760779026,0.08665766792390953,0.1330440467040826,0.008537711080654093
150,2,0.0236086043651161,0.0015374693273936054,0.0035497445243444304,0.0001972764809057761,0.13100559365787556,0.0085224049045649,1.3365658378990366,0.09426670678110806,0.20095072824377402,0.012212712462515596
250,2,0.13351092690512478,0.010994574185937349,0.03734815830218802,0.0029975587267500577,0.21900695697707662,0.015325146194316118,2.7197775062621976,0.23019582651399537,0.7607823436756147,0.06227529416901884
300,2,0.2756512930149782,0.031232246770500568,0.08895979867753209,0.009792816982560747,0.24470523603123212,0.021852475573548236,3.9010767694274437,0.44449484647748344,1.2590078618126226,0.13962464040646774
350,2,0.4959125812871061,0.05180910008425498,0.177416801734531,0.021516200508095936,0.26388167465925405,0.024822721151441064,5.153719111532932,0.542030525707973,1.8437428501628164,0.22439671747656462
450,2,1.0071941237000945,0.15347892085534023,0.39883362891062046,0.07707245257519715,0.28375420341752855,0.038650855680616714,6.333526397815787,0.9673276238631284,2.507955666749502,0.48515916816435856
500,2,1.584056697199198,0.3257463939102933,0.6125427337328864,0.17104297660785878,0.2786471140786752,0.05632204550979543,8.06870897444753,1.6618057480815804,3.1200868904641172,0.8721770812455014
550,2,1.7483250468868166,0.38230659211152446,0.7044636792166115,0.17591945549870683,0.2874890602321039,0.04205179916674735,7.358385361194115,1.6103345133491338,2.9650364984553312,0.7412049116666016
700,2,4.897681206685137,2.3268715280596335,1.7905759916816544,1.0478100751372343,0.2657627318088904,0.10091365737522094,12.728464362690438,6.055246468075737,4.653995589448459,2.7262797659717655
800,2,5.139959100192186,1.3703255451137175,1.912149795560461,0.6691536136275463,0.27075760436811896,0.06530130798031698,10.225068662341918,2.7286983898089727,3.8037451165713976,1.3314880907830553
