AAC_Diam_Ave,AAC_Diam_STD,CPC_Conc_Ave,CPC_Conc_STD,PAX_ABS_Ave,PAX_ABS_STD,PAX_SCA_Ave,PAX_SCA_STD
50,1,51379.71014,842.715164,41.22301872,1.536896523,0.733814642,0.054605909
60,1,31354.90196,565.7948736,48.98269775,3.095002021,1.404971927,0.059339266
70,1,46119.45946,5487.639246,106.4534753,3.398944336,4.209294979,0.241759101
100,1,27635.50725,723.5154168,207.3621616,6.279366182,14.92672442,0.408118002
125,1,25303.46821,715.02935,380.8211783,11.82893864,41.31552309,1.332911241
150,1,27148.0226,849.6048811,639.7825438,21.09533812,96.14397338,2.928658703
250,1,2751.545455,133.7064178,366.6875745,15.5962291,102.6624184,5.210574047
300,1,1163.863014,86.01530402,319.216026,21.95895468,103.2231531,7.691015511
350,1,484.6055046,31.51973074,239.5350622,16.02840167,85.84625809,8.071447277
450,1,152.685567,15.50494148,152.2060957,14.45837639,60.3989403,9.160160993
500,1,67.96122449,9.720735968,105.7122067,13.13292593,40.81855254,9.319356838
550,1,166.804721,28.43058583,281.2903817,29.30616859,113.4653942,18.61892478
700,1,17.77260204,4.593215606,78.21473028,17.01285653,28.98082683,11.90996699
800,1,41.13333333,7.589407032,204.7839065,31.21991586,76.02545926,21.80786845
