dm,Conc
14.6,12770.6
15.1,15162.6
15.7,20297
16.3,20644.1
16.8,24980.2
17.5,30577.4
18.1,26302.6
18.8,40675.5
19.5,34443.2
20.2,47547.6
20.9,53738.2
21.7,62308.4
22.5,76311.2
23.3,86448.6
24.1,95044.4
25,100323
25.9,110040
26.9,135517
27.9,141823
28.9,165471
30,179828
31.1,208692
32.2,230699
33.4,246123
34.6,278345
35.9,295594
37.2,332800
38.5,384365
40,397444
41.4,432438
42.9,479845
44.5,517433
46.1,541790
47.8,606156
49.6,658721
51.4,728754
53.3,801566
55.2,855830
57.3,899319
59.4,962272
61.5,1.05E+06
63.8,1.11E+06
66.1,1.15E+06
68.5,1.28E+06
71,1.32E+06
73.7,1.39E+06
76.4,1.47E+06
79.1,1.62E+06
82,1.69E+06
85.1,1.80E+06
88.2,1.92E+06
91.4,2.02E+06
94.7,2.10E+06
98.2,2.19E+06
101.8,2.27E+06
105.5,2.36E+06
109.4,2.38E+06
113.4,2.44E+06
117.6,2.45E+06
121.9,2.51E+06
126.3,2.54E+06
131,2.53E+06
135.8,2.53E+06
140.7,2.50E+06
145.9,2.47E+06
151.2,2.46E+06
156.8,2.48E+06
162.5,2.38E+06
168.5,2.38E+06
174.7,2.36E+06
181.1,2.26E+06
187.7,2.22E+06
194.6,2.15E+06
201.7,2.07E+06
209.1,2.02E+06
216.7,1.87E+06
224.7,1.76E+06
232.9,1.69E+06
241.4,1.59E+06
250.3,1.44E+06
259.5,1.37E+06
269,1.29E+06
278.8,1.18E+06
289,1.08E+06
299.6,1.02E+06
310.6,933441
322,866665
333.8,811195
346,706931
358.7,681600
371.8,614239
385.4,556282
399.5,547416
414.2,455317
429.4,429364
445.1,389664
461.4,336459
478.3,307099
495.8,264625
514,237688
532.8,220283
552.3,209697
572.5,187667
593.5,172727
615.3,146717
637.8,128000
661.2,124858
685.4,120811
